Droplet diameter [m],Impact velocity [m/s],Density [kg/m3],Surface Tension [N/m],Dynamic Viscosity [Pa s],Distance between adjacent laser beam passes [µm],Average depth of micro-channels [µm],Reynolds number,Weber number
0.002313636,1.614307915,1199.2114,0.06689444,0.036419641,600,25,122.9819862,108.0870141
0.002279694,0.976337181,1230.6815,0.06577659,0.152918067,200,25,17.9127926,40.65842693
0.00229326,1.443603968,1198.87915,0.06685259,0.035647434,50,6,111.3393273,85.70510555
0.002439534,1.22060726,1045.16375,0.071097813,0.001596807,200,25,1949.012644,53.43020501
0.002244294,1.521627884,1198.87915,0.06685259,0.035647434,50,25,114.851147,93.18667778
0.002347412,1.583331693,1230.1775,0.06569099,0.1463243,400,6,31.24730076,110.203417
0.002320778,1.180450651,1230.302,0.06571236,0.147945596,400,6,22.78196119,60.54717996
0.002348306,1.420128166,1198.74835,0.06683571,0.035343155,600,6,113.1110201,84.94331555
0.002259792,0.530813522,1152.158,0.067599618,0.009047234,600,25,152.7589413,10.85226021
0.002422927,1.271105331,1045.22655,0.071118393,0.001603365,100,25,2007.705257,57.53497852
0.002479102,1.421176729,1045.32,0.071149,0.001613252,600,25,2282.913326,73.56495543
0.002362403,1.204513555,1045.22655,0.071118393,0.001603365,50,25,1854.998991,50.37392935
0.002323873,1.182210238,1230.302,0.06571236,0.147945596,400,6,22.84634886,60.8088089
0.002321329,1.177292276,1230.302,0.06571236,0.147945596,800,25,22.72640576,60.23792836
0.002298661,1.600176511,1199.2114,0.06689444,0.036419641,800,25,121.1163663,105.5155251
0.002343761,0.970581609,1151.348,0.06742348,0.008610586,600,25,304.1720278,37.70273621
0.002368153,1.209696157,1152.32,0.06763525,0.009137186,100,6,361.2823997,59.04218879
0.002533293,1.63281609,997.2375,0.07246,0.000943923,200,25,4370.032922,92.95231577
0.002322508,1.444592198,1198.87915,0.06685259,0.035647434,400,25,112.8364854,86.91702431
0.002286404,0.533627695,1231.2015,0.06586251,0.159808968,400,6,9.399815155,12.17083975
0.002296381,1.208752527,1230.302,0.06571236,0.147945596,400,25,23.0829372,62.81790401
0.002319975,1.433627748,1198.87915,0.06685259,0.035647434,200,25,111.8579633,85.50929773
0.002326726,1.610918907,1230.239625,0.065701673,0.147132715,200,25,31.3400327,113.0592101
0.002426785,1.603060942,1044.68,0.070939,0.001548471,400,25,2624.590081,91.8395088
0.002365689,1.585027051,1230.1775,0.06569099,0.1463243,400,6,31.52431518,111.299442
0.002550306,0.905684547,997.2375,0.07246,0.000943923,800,25,2440.233383,28.79032421
0.002296057,1.426519752,1230.745625,0.065787313,0.153762912,200,6,26.21665218,87.4106743
0.002559571,1.599234307,997.2375,0.07246,0.000943923,800,25,4324.554391,90.09313413
0.002577896,1.589034942,997.2375,0.07246,0.000943923,400,6,4327.736768,89.5844266
0.002322661,1.59834428,1230.239625,0.065701673,0.147132715,200,6,31.04107029,111.1065958
0.002472868,0.942156592,1045.3818,0.07116923,0.001619878,400,6,1503.546179,32.24257938
0.002347764,1.418164586,1198.74835,0.06683571,0.035343155,600,6,112.9285344,84.68901398
0.002495867,1.426937771,1045.32,0.071149,0.001613252,600,6,2307.668303,74.66410851
0.002473343,0.944516895,1045.32,0.071149,0.001613252,800,6,1513.704591,32.41785867
0.002292295,0.550672554,1199.4826,0.06692756,0.037049434,200,25,40.86733742,12.45794358
0.002515485,1.403000483,997.2375,0.07246,0.000943923,200,6,3728.563522,68.14556563
0.002562115,0.899247164,997.2375,0.07246,0.000943923,600,6,2434.107218,28.51392577
0.002516122,1.589823811,1044.8112,0.07098212,0.001561216,50,6,2677.044875,93.60921735
0.002509309,1.59695507,1044.68,0.070939,0.001548471,200,6,2703.503619,94.2405233
0.002532801,1.196568731,997.2375,0.07246,0.000943923,600,6,3201.848568,49.90874756
0.002481252,1.419078935,1045.32,0.071149,0.001613252,800,6,2281.521063,73.41156821
0.002310249,0.546933625,1152.266,0.067623358,0.009107103,50,6,159.8696182,11.77562772
0.002344373,1.586158814,1199.7586,0.06696036,0.037690117,100,6,118.3694808,105.6808071
0.002279549,1.439108552,1198.87915,0.06685259,0.035647434,100,25,110.329,84.6629252
0.002303525,0.93965329,1230.554,0.06575516,0.151242279,800,25,17.61116008,38.06264627
0.002569449,1.592376221,997.2375,0.07246,0.000943923,400,6,4322.625903,89.66677895
0.002287635,1.238512714,1199.55115,0.06693579,0.037208576,100,25,91.34039335,62.88513655
0.002364355,1.612920282,1152.482,0.067671018,0.009228031,200,25,476.2671179,104.7538179
0.002321499,1.188620211,1230.302,0.06571236,0.147945596,800,25,22.94675681,61.40721486
0.002495323,0.49956381,997.2375,0.07246,0.000943923,50,6,1316.981636,8.570554519
0.00236452,1.212311871,1153.184,0.06782757,0.00963225,400,6,343.1848951,59.08320293
0.002484172,1.412417667,997.2375,0.07246,0.000943923,50,6,3706.866314,68.20375706
0.002303222,0.966800938,1199.2114,0.06689444,0.036419641,200,25,73.32178253,38.59363793
0.002353187,1.586494044,1199.2114,0.06689444,0.036419641,800,6,122.9291672,106.1790966
0.002363225,1.443690681,1151.186,0.067388658,0.008525818,50,6,460.6686317,84.14185251
0.002477103,0.942339196,1045.32,0.071149,0.001613252,800,6,1512.5104,32.31759921
0.002306557,0.544951323,1199.7586,0.06696036,0.037690117,50,6,40.01181649,12.27314004
0.002417052,0.989851808,1045.4432,0.07118932,0.00162653,100,25,1537.781174,34.77859038
0.002455494,1.458380743,997.2375,0.07246,0.000943923,100,25,3783.309937,71.87553265
0.002417538,0.988848344,1045.3818,0.07116923,0.001619878,200,25,1542.750989,34.722856
0.002325922,1.423739803,1198.87915,0.06685259,0.035647434,100,6,111.3711937,84.54998502
0.002425075,1.50726978,1045.5648,0.07122908,0.001639917,100,25,2330.479268,80.87249347
0.002369251,1.213674127,1153.184,0.06782757,0.00963225,800,6,344.2579632,59.33454238
0.002284732,1.227927443,1230.302,0.06571236,0.147945596,100,25,23.33015374,64.49785664
0.002263679,0.595689029,1199.7586,0.06696036,0.037690117,50,25,42.9240583,14.39229617
0.002533917,0.906296641,997.2375,0.07246,0.000943923,600,25,2426.18954,28.64397793
