Sample,Droplet diameter [m],Impact velocity [m/s],Density [kg/m3],Surface Tension [N/m],Dynamic Viscosity [Pa s],Distance between adjacent laser beam passes [µm],Average depth of micro-channels [µm],Reynolds number,Weber number,Contact time [s],Rebound efficiency,Spreading coefficient,Lamella velocity [m/s]
D50,0.002473716,0.536893722,997.2375,0.07246,0.000943923,50,25,1403.137456,9.813564425,0.0116,0.37982146,1.560186908,0.630630631
D50,0.002447832,0.520219068,997.2375,0.07246,0.000943923,50,25,1345.3331,9.117049816,0.0112,0.404025451,1.561484361,0.563938619
D50,0.002457574,0.525367238,997.2375,0.07246,0.000943923,50,25,1364.054232,9.335398427,0.0114,0.390917009,1.560393514,0.626598465
D50,0.002444521,0.515019661,997.2375,0.07246,0.000943923,50,25,1330.085602,8.923631648,0.0114,0.410315507,1.558472561,0.532608696
D50,0.002455661,0.523726659,997.2375,0.07246,0.000943923,50,25,1358.736271,9.269964776,0.0114,0.397798516,1.561608985,0.595268542
D100,0.002448526,0.522099822,997.2375,0.07246,0.000943923,100,25,1350.579846,9.185695473,0.0114,0.396497871,1.561041612,0.595268542
D100,0.00245558,0.52330602,997.2375,0.07246,0.000943923,100,25,1357.599961,9.254773228,0.0116,0.394548929,1.556557304,0.626598465
D100,0.002457208,0.530832045,997.2375,0.07246,0.000943923,100,25,1378.037605,9.529199845,0.0114,0.383043796,1.560626044,0.657928389
D100,0.00245733,0.522913755,997.2375,0.07246,0.000943923,100,25,1357.549194,9.24749013,0.0116,0.393452046,1.555448691,0.563938619
D100,0.002465251,0.534823601,997.2375,0.07246,0.000943923,100,25,1392.944357,9.704710081,0.0116,0.378180323,1.570784601,0.563938619
D200,0.002459363,0.518653843,997.2375,0.07246,0.000943923,200,25,1347.604189,9.104963026,0.0116,0.400618004,1.559258194,0.563938619
D200,0.002462411,0.511564347,997.2375,0.07246,0.000943923,200,25,1330.83058,8.868726744,0.0114,0.414280563,1.557328689,0.626598465
