Sample,Droplet diameter [m],Impact velocity [m/s],Density [kg/m3],Surface tension [N/m],Dynamic viscosity [Pa s],Reynolds number,Weber number,Speading coefficient,Lamella velocity [m/s]
REF-H,0.002609469,0.566524911,997.2375,0.07246,0.000943923,1561.828085,11.52631471,1.620303606,0.637115839
REF-H,0.002609862,0.558349462,997.2375,0.07246,0.000943923,1539.521258,11.19773089,1.63337529,0.637115839
REF-H,0.002606521,0.560234086,997.2375,0.07246,0.000943923,1542.740325,11.25902008,1.613247766,0.637115839
REF-H,0.002596243,0.557354791,997.2375,0.07246,0.000943923,1528.759118,11.09964356,1.619634628,0.637115839
REF-H,0.002607734,0.570165709,997.2375,0.07246,0.000943923,1570.819746,11.66717415,1.62582418,0.550236407
REF-H,0.002581854,0.904091587,997.2375,0.07246,0.000943923,2466.07455,29.0440291,1.970298186,1.090966921
REF-H,0.002583081,0.905460971,997.2375,0.07246,0.000943923,2470.982892,29.14591592,1.974189658,1.090966921
REF-H,0.002587177,0.905954097,997.2375,0.07246,0.000943923,2476.249261,29.22394124,2.009617745,1.028625954
REF-H,0.002586794,0.907989627,997.2375,0.07246,0.000943923,2481.446011,29.35107091,1.985815243,0.997455471
REF-H,0.002584881,0.907613855,997.2375,0.07246,0.000943923,2478.584136,29.3050871,1.977638351,1.028625954
REF-H,0.002538927,1.191067674,997.2375,0.07246,0.000943923,3194.837068,49.57050992,2.407462201,1.578608247
REF-H,0.002541845,1.186844157,997.2375,0.07246,0.000943923,3187.166571,49.27614126,2.409667195,1.799613402
REF-H,0.002544081,1.190117559,997.2375,0.07246,0.000943923,3198.768318,49.59191542,2.412513424,1.578608247
REF-H,0.002541445,1.189394365,997.2375,0.07246,0.000943923,3193.512958,49.48035346,2.439860962,1.673324742
REF-H,0.002538887,1.190525931,997.2375,0.07246,0.000943923,3193.333634,49.52464694,2.447293512,1.452319588
REF-H,0.002516069,1.386136454,997.2375,0.07246,0.000943923,3684.601679,66.53264126,2.59828674,1.984810127
REF-H,0.002523883,1.397549526,997.2375,0.07246,0.000943923,3726.477066,67.84282033,2.595157374,2.015822785
REF-H,0.002515017,1.399664957,997.2375,0.07246,0.000943923,3719.008013,67.80932752,2.609237849,1.829746835
REF-H,0.002522679,1.398461942,997.2375,0.07246,0.000943923,3727.131739,67.89903926,2.606230363,1.767721519
REF-H,0.002513303,1.382142238,997.2375,0.07246,0.000943923,3669.945388,66.07703916,2.625825079,1.860759494
REF-H,0.002582843,1.582053873,997.2375,0.07246,0.000943923,4316.992202,88.96942144,2.796032201,2.284163474
REF-H,0.00258265,1.583958905,997.2375,0.07246,0.000943923,4321.867439,89.1771494,2.825318246,2.09642401
REF-H,0.00258292,1.583542013,997.2375,0.07246,0.000943923,4321.182117,89.13954111,2.791102944,2.565772669
REF-H,0.00258265,1.581996645,997.2375,0.07246,0.000943923,4316.513368,88.95633511,2.815625902,2.190293742
REF-H,0.002586508,1.580429151,997.2375,0.07246,0.000943923,4318.678949,88.91277916,2.792069834,2.221583653
REF-H,0.002452444,0.520100971,1045.10055,0.071077093,0.001590276,838.2474147,9.754450069,1.57697117,0.657088123
REF-H,0.002451874,0.522732637,1045.10055,0.071077093,0.001590276,842.2932821,9.851125603,1.577337366,0.594508301
REF-H,0.002453176,0.525056919,1045.10055,0.071077093,0.001590276,846.4874513,9.944199153,1.61221433,0.625798212
REF-H,0.002456344,0.528196428,1045.10055,0.071077093,0.001590276,852.6488673,10.07647385,1.579562325,0.625798212
REF-H,0.002455045,0.526753013,1045.10055,0.071077093,0.001590276,849.8689539,10.01617482,1.585496492,0.625798212
REF-H,0.002500877,0.930029236,1045.4432,0.07118932,0.00162653,1494.951942,31.76662584,2.068439161,1.147468354
REF-H,0.002500015,0.931207311,1045.4432,0.07118932,0.00162653,1496.329706,31.83617839,2.054266328,1.116455696
REF-H,0.002508465,0.928620534,1045.4432,0.07118932,0.00162653,1497.216596,31.7665587,2.081963318,0.961392405
REF-H,0.002502404,0.932228334,1045.4432,0.07118932,0.00162653,1499.401947,31.93652241,2.067176743,1.116455696
REF-H,0.002508348,0.931448002,1045.4432,0.07118932,0.00162653,1501.705182,31.95880631,2.077115055,1.209493671
REF-H,0.002496965,1.19131532,1045.22655,0.071118393,0.001603365,1939.176031,52.08281155,2.423679263,1.400889454
REF-H,0.002494829,1.190290137,1045.22655,0.071118393,0.001603365,1935.850056,51.94873892,2.445719156,1.556543837
REF-H,0.002494671,1.189106405,1045.22655,0.071118393,0.001603365,1933.80218,51.84217609,2.395958524,1.494282084
REF-H,0.002494908,1.187632746,1045.22655,0.071118393,0.001603365,1931.589425,51.71868116,2.420686055,1.649936468
REF-H,0.00249186,1.189323406,1045.22655,0.071118393,0.001603365,1931.975612,51.80266047,2.408655836,1.618805591
REF-H,0.00249808,1.414735652,1045.4432,0.07118932,0.00162653,2271.538243,73.42477184,2.653221127,1.789672544
REF-H,0.002497459,1.415556989,1045.4432,0.07118932,0.00162653,2272.291775,73.49177038,2.624228809,1.85138539
REF-H,0.002501494,1.409649141,1045.4432,0.07118932,0.00162653,2266.464489,72.99736854,2.60025921,1.85138539
